Zeitstempel,Anfangsbuchstabe des Vornamens Ihrer Mutter,Anfangsbuchstabe des Mädchennamens Ihrer Mutter,Dritter Buchstabe des Geburtsmonats Ihrer Mutter,Anfangsbuchstabe Ihres Geburtsortes ,Anfangsbuchstabe des Vornamens Ihres Vaters,Geschlecht,Ihr Alter in Jahren:,Wie häufig machen Sie in der Woche Sport?,Welche Sportarten machen Sie? (mehrere Antworten möglich),"Haben Sie schonmal Sport-Apps genutzt? (Z.B. Apple Sports, Adidas Running App, Komoot, Nike Training Club, Freeletics, Urban Sports Club, Stava, etc.)  ","Warum üben Sie Sport aus?   [Wegen der Begeisterung, die ich empfinde, wenn ich wirklich an einer Aktivität beteiligt bin]","Warum üben Sie Sport aus?   [Weil es die Art und Weise ist, wie ich mein Leben leben möchte]","Warum üben Sie Sport aus?   [Weil es eine gute Möglichkeit ist, viele Dinge zu lernen, die mir in anderen Bereichen meines Lebens nützlich sein könnten]","Warum üben Sie Sport aus?   [Weil es mir erlaubt, bei den Menschen, die ich kenne, gut angesehen zu sein]","Warum üben Sie Sport aus?   [Ich weiß es nicht mehr; ich habe den Eindruck, dass ich in meiner Sportart nicht erfolgreich sein kann]","Warum üben Sie Sport aus?   [Weil ich eine große persönliche Befriedigung empfinde, wenn ich bestimmte schwierige Trainingstechniken beherrsche]","Warum üben Sie Sport aus?   [Weil es absolut notwendig ist, Sport zu treiben, wenn man in Form sein will]","Warum üben Sie Sport aus?   [Weil es eine der besten Möglichkeiten ist, um andere Aspekte meines Lebens weiter zu entwickeln]",Warum üben Sie Sport aus?   [Weil er ein Teil von mir ist],"Warum üben Sie Sport aus?   [Weil ich Sport treiben muss, um mich selbst gut zu fühlen]",Warum üben Sie Sport aus?   [Wegen des Ansehens eines Sportlers / einer Sportlerin],"Warum üben Sie Sport aus?   [Ich weiß nicht, ob ich weiterhin so viel Zeit und Mühe in meinen Sport investieren möchte]",Warum üben Sie Sport aus?   [Weil die Teilnahme an meinem Sport mit meinen innersten Grundsätzen übereinstimmt],"Warum üben Sie Sport aus?   [Wegen der Zufriedenheit, die ich erfahre, während ich meine Fähigkeiten perfektioniere]","Warum üben Sie Sport aus?   [Weil es eine der besten Möglichkeiten ist, gute Beziehungen zu meinen FreundInnen zu pflegen]","Warum üben Sie Sport aus?   [Weil ich mich schlecht fühlen würde, wenn ich mir keine Zeit dafür nehmen würde]","Warum üben Sie Sport aus?   [Es ist mir nicht mehr klar. Ich glaube nicht, dass Sport noch weiterhin was für mich ist.]","Warum üben Sie Sport aus?   [Ich empfinde Freude daran neue Strategien auszuprobieren, um meine Leistung zu verbessern.]","Warum üben Sie Sport aus?   [Wegen der materiellen oder sozialen Vorteile, die man als SportlerIn hat]",Warum üben Sie Sport aus?   [Weil ich durch hartes Training meine Leistung verbessern kann],Warum üben Sie Sport aus?   [Weil die Teilnahme an meinem Sport ein fester Bestandteil meines Lebens ist],"Warum üben Sie Sport aus?   [Ich habe das Gefühl, dass mir mein Sport nicht mehr so viel Spaß macht wie früher]",Warum üben Sie Sport aus?   [Weil ich regelmäßig Sport treiben muss],"Warum üben Sie Sport aus?   [Um anderen zu zeigen, wie gut ich in meinem Sport bin]",Wie oft benutzen Sie eine Sport-App?  ,Wofür benutzen Sie Sport-Apps? (mehrere Antworten möglich)  ,"Glauben Sie, dass Sie Ihre Sportlichen Ziele durch Benutzung einer Sport-App effizienter erreichen können? ","Motiviert es Sie, wenn Sie Ihre Leistungen mit denen Ihrer Freunde vergleichen?  "
05.06.2023 12:39:17,K,K,1,K,G,Weiblich,22,1-2 mal die Woche,"Kraftsport, Fitness-Kurse, Tanzen",Ja,1 - trifft gar nicht zu,4 - trifft zu,3- trifft teilweise zu,2 - trifft nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,4 - trifft zu,2 - trifft nicht zu,1 - trifft gar nicht zu,5 - trifft voll zu,1 - trifft gar nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,5 - trifft voll zu,1 - trifft gar nicht zu,4 - trifft zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um das Training meiner Freunde zu verfolgen, Um Kurse zu Buchen",Nein,Ja
05.06.2023 12:48:11,J,S,R,W,W,Männlich,23,Jeden Tag,"Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Schwimmen, Fitness-Kurse, Tanzen",Ja,4 - trifft zu,5 - trifft voll zu,3- trifft teilweise zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,4 - trifft zu,5 - trifft voll zu,4 - trifft zu,5 - trifft voll zu,5 - trifft voll zu,2 - trifft nicht zu,1 - trifft gar nicht zu,4 - trifft zu,4 - trifft zu,4 - trifft zu,3- trifft teilweise zu,1 - trifft gar nicht zu,4 - trifft zu,3- trifft teilweise zu,5 - trifft voll zu,5 - trifft voll zu,1 - trifft gar nicht zu,5 - trifft voll zu,2 - trifft nicht zu,Bei dem Großteil meiner Trainings,"Zum Tracken meiner Leistungen, Um das Training meiner Freunde zu verfolgen",Ja,Nein
05.06.2023 12:51:22,W,H,R,E,W,Weiblich,28,1-2 mal die Woche,Yoga,Nein,4 - trifft zu,4 - trifft zu,2 - trifft nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,3- trifft teilweise zu,4 - trifft zu,2 - trifft nicht zu,2 - trifft nicht zu,3- trifft teilweise zu,2 - trifft nicht zu,2 - trifft nicht zu,4 - trifft zu,2 - trifft nicht zu,3- trifft teilweise zu,2 - trifft nicht zu,3- trifft teilweise zu,4 - trifft zu,5 - trifft voll zu,3- trifft teilweise zu,3- trifft teilweise zu,Nie,Verwende keine,Ja,Nein
05.06.2023 13:13:48,U,K,R,K,F,Männlich,24,3-4 mal die Woche,"Joggen, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Schwimmen, Wandern",Ja,5 - trifft voll zu,4 - trifft zu,3- trifft teilweise zu,2 - trifft nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,4 - trifft zu,2 - trifft nicht zu,4 - trifft zu,5 - trifft voll zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,4 - trifft zu,2 - trifft nicht zu,4 - trifft zu,1 - trifft gar nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,4 - trifft zu,3- trifft teilweise zu,1 - trifft gar nicht zu,3- trifft teilweise zu,2 - trifft nicht zu,Bei dem Großteil meiner Trainings,"Zum Tracken meiner Leistungen, Um das Training meiner Freunde zu verfolgen, Um motivierter zu sein beim Sport",Ja,Ja
05.06.2023 13:45:49,A,W,B,G,W,Weiblich,24,3-4 mal die Woche,"Joggen, Kraftsport, Schwimmen, Fitness-Kurse",Ja,4 - trifft zu,5 - trifft voll zu,3- trifft teilweise zu,3- trifft teilweise zu,1 - trifft gar nicht zu,2 - trifft nicht zu,4 - trifft zu,3- trifft teilweise zu,4 - trifft zu,5 - trifft voll zu,2 - trifft nicht zu,1 - trifft gar nicht zu,4 - trifft zu,3- trifft teilweise zu,3- trifft teilweise zu,4 - trifft zu,1 - trifft gar nicht zu,2 - trifft nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,4 - trifft zu,1 - trifft gar nicht zu,4 - trifft zu,2 - trifft nicht zu,Bei dem Großteil meiner Trainings,"Zum Tracken meiner Leistungen, Um Kurse zu Buchen",Ja,Nein
05.06.2023 13:52:07,A,S,r,B,M,Weiblich,23,3-4 mal die Woche,"Joggen, Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Fitness-Kurse, Tanzen",Ja,5 - trifft voll zu,5 - trifft voll zu,3- trifft teilweise zu,4 - trifft zu,2 - trifft nicht zu,3- trifft teilweise zu,5 - trifft voll zu,5 - trifft voll zu,5 - trifft voll zu,5 - trifft voll zu,2 - trifft nicht zu,1 - trifft gar nicht zu,4 - trifft zu,4 - trifft zu,3- trifft teilweise zu,5 - trifft voll zu,1 - trifft gar nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,5 - trifft voll zu,5 - trifft voll zu,1 - trifft gar nicht zu,5 - trifft voll zu,4 - trifft zu,Bei dem Großteil meiner Trainings,"Zum Tracken meiner Leistungen, Kurse anzuschauen",Ja,Nein
05.06.2023 13:54:55,B,F,V,L,P,Weiblich,22,1-2 mal die Woche,Joggen,Ja,3- trifft teilweise zu,4 - trifft zu,3- trifft teilweise zu,3- trifft teilweise zu,1 - trifft gar nicht zu,4 - trifft zu,2 - trifft nicht zu,4 - trifft zu,4 - trifft zu,4 - trifft zu,4 - trifft zu,2 - trifft nicht zu,4 - trifft zu,3- trifft teilweise zu,2 - trifft nicht zu,4 - trifft zu,1 - trifft gar nicht zu,4 - trifft zu,3- trifft teilweise zu,3- trifft teilweise zu,3- trifft teilweise zu,2 - trifft nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,Bei jedem Training,"Zum Tracken meiner Leistungen, Um mir Ziele zu setzen, Um motivierter zu sein beim Sport",Ja,Nein
05.06.2023 14:30:08,M,M,z,M,L,Weiblich,39,3-4 mal die Woche,"Joggen, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Ja,5 - trifft voll zu,3- trifft teilweise zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,4 - trifft zu,4 - trifft zu,4 - trifft zu,4 - trifft zu,5 - trifft voll zu,2 - trifft nicht zu,2 - trifft nicht zu,5 - trifft voll zu,5 - trifft voll zu,3- trifft teilweise zu,4 - trifft zu,1 - trifft gar nicht zu,5 - trifft voll zu,1 - trifft gar nicht zu,4 - trifft zu,5 - trifft voll zu,1 - trifft gar nicht zu,4 - trifft zu,2 - trifft nicht zu,Bei dem Großteil meiner Trainings,"Zum Tracken meiner Leistungen, Um das Training meiner Freunde zu verfolgen, Um mir Ziele zu setzen, Um motivierter zu sein beim Sport",Ja,Ja
05.06.2023 14:45:11,C,P,r,T,E,Männlich,24,1-2 mal die Woche,"Joggen, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Schwimmen",Ja,5 - trifft voll zu,3- trifft teilweise zu,2 - trifft nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,4 - trifft zu,3- trifft teilweise zu,5 - trifft voll zu,5 - trifft voll zu,3- trifft teilweise zu,2 - trifft nicht zu,1 - trifft gar nicht zu,5 - trifft voll zu,4 - trifft zu,2 - trifft nicht zu,5 - trifft voll zu,1 - trifft gar nicht zu,5 - trifft voll zu,1 - trifft gar nicht zu,5 - trifft voll zu,5 - trifft voll zu,2 - trifft nicht zu,4 - trifft zu,1 - trifft gar nicht zu,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um Kurse zu Buchen",Nein,Nein
05.06.2023 15:16:55,L,U,T,P,W,Keine Angabe,25,3-4 mal die Woche,"Kraftsport, Sportklettern",Ja,3- trifft teilweise zu,3- trifft teilweise zu,2 - trifft nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,4 - trifft zu,5 - trifft voll zu,3- trifft teilweise zu,2 - trifft nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,3- trifft teilweise zu,5 - trifft voll zu,2 - trifft nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,2 - trifft nicht zu,4 - trifft zu,2 - trifft nicht zu,2 - trifft nicht zu,3- trifft teilweise zu,2 - trifft nicht zu,Bei wenigen Trainings,Zum Tracken meiner Leistungen,Nein,Nein
05.06.2023 15:57:20,M,N,I,B,F,Weiblich,25,3-4 mal die Woche,"Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Ja,5 - trifft voll zu,4 - trifft zu,4 - trifft zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,4 - trifft zu,3- trifft teilweise zu,5 - trifft voll zu,3- trifft teilweise zu,3- trifft teilweise zu,2 - trifft nicht zu,4 - trifft zu,4 - trifft zu,5 - trifft voll zu,3- trifft teilweise zu,1 - trifft gar nicht zu,4 - trifft zu,4 - trifft zu,4 - trifft zu,5 - trifft voll zu,2 - trifft nicht zu,3- trifft teilweise zu,2 - trifft nicht zu,Bei dem Großteil meiner Trainings,"Zum Tracken meiner Leistungen, Um das Training meiner Freunde zu verfolgen, Um mir Ziele zu setzen, Um motivierter zu sein beim Sport",Ja,Ja
05.06.2023 16:17:25,M,H,i,D,C,Weiblich,18,3-4 mal die Woche,"Joggen, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Ja,4 - trifft zu,5 - trifft voll zu,3- trifft teilweise zu,2 - trifft nicht zu,1 - trifft gar nicht zu,4 - trifft zu,4 - trifft zu,4 - trifft zu,3- trifft teilweise zu,4 - trifft zu,2 - trifft nicht zu,1 - trifft gar nicht zu,5 - trifft voll zu,5 - trifft voll zu,2 - trifft nicht zu,4 - trifft zu,1 - trifft gar nicht zu,4 - trifft zu,3- trifft teilweise zu,4 - trifft zu,5 - trifft voll zu,3- trifft teilweise zu,4 - trifft zu,2 - trifft nicht zu,Bei wenigen Trainings,Um mir Ziele zu setzen,Ja,Ja
05.06.2023 17:17:57,M,S,L,N,B,Männlich,24,Gar nicht,Joggen,Ja,2 - trifft nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,2 - trifft nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,4 - trifft zu,2 - trifft nicht zu,2 - trifft nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,2 - trifft nicht zu,1 - trifft gar nicht zu,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um einen Sport-Zeitplan zu erstellen, Um mir Ziele zu setzen, Um motivierter zu sein beim Sport",Ja,Nein
05.06.2023 17:23:42,R,S,P,K,N,Männlich,22,5-6 mal die Woche,Kraftsport,Ja,5 - trifft voll zu,5 - trifft voll zu,3- trifft teilweise zu,2 - trifft nicht zu,1 - trifft gar nicht zu,5 - trifft voll zu,5 - trifft voll zu,3- trifft teilweise zu,5 - trifft voll zu,5 - trifft voll zu,2 - trifft nicht zu,1 - trifft gar nicht zu,5 - trifft voll zu,5 - trifft voll zu,3- trifft teilweise zu,5 - trifft voll zu,1 - trifft gar nicht zu,5 - trifft voll zu,1 - trifft gar nicht zu,5 - trifft voll zu,5 - trifft voll zu,1 - trifft gar nicht zu,5 - trifft voll zu,1 - trifft gar nicht zu,Bei jedem Training,Zum Tracken meiner Leistungen,Ja,Nein
05.06.2023 18:55:46,M,H,I,B,R,Weiblich,56,3-4 mal die Woche,"Schwimmen, Pilates",Nein,3- trifft teilweise zu,4 - trifft zu,3- trifft teilweise zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,2 - trifft nicht zu,5 - trifft voll zu,4 - trifft zu,2 - trifft nicht zu,5 - trifft voll zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,4 - trifft zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,5 - trifft voll zu,3- trifft teilweise zu,Nie,"Zum Tracken meiner Leistungen, Um Kurse zu Buchen",Ja,Nein
05.06.2023 19:10:22,I,W,Z,F,J,Weiblich,32,1-2 mal die Woche,Joggen,Ja,5 - trifft voll zu,5 - trifft voll zu,4 - trifft zu,2 - trifft nicht zu,1 - trifft gar nicht zu,4 - trifft zu,4 - trifft zu,3- trifft teilweise zu,4 - trifft zu,5 - trifft voll zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,4 - trifft zu,5 - trifft voll zu,1 - trifft gar nicht zu,4 - trifft zu,1 - trifft gar nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,4 - trifft zu,1 - trifft gar nicht zu,4 - trifft zu,1 - trifft gar nicht zu,Bei jedem Training,"Zum Tracken meiner Leistungen, Um mir Ziele zu setzen, Um motivierter zu sein beim Sport",Ja,Nein
05.06.2023 19:36:19,U,B,V,H,M,Männlich,27,1-2 mal die Woche,Kraftsport,Ja,3- trifft teilweise zu,2 - trifft nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,4 - trifft zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,2 - trifft nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,3- trifft teilweise zu,3- trifft teilweise zu,1 - trifft gar nicht zu,Bei dem Großteil meiner Trainings,Zum Tracken meiner Leistungen,Ja,Ja
05.06.2023 19:40:10,C,B,V,G,W,Männlich,31,3-4 mal die Woche,"Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Fitness-Kurse",Ja,4 - trifft zu,5 - trifft voll zu,3- trifft teilweise zu,2 - trifft nicht zu,3- trifft teilweise zu,4 - trifft zu,5 - trifft voll zu,3- trifft teilweise zu,4 - trifft zu,5 - trifft voll zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,2 - trifft nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,1 - trifft gar nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,Bei wenigen Trainings,Um Kurse zu Buchen,Nein,Nein
05.06.2023 19:42:43,K,K,R,K,C,Männlich,25,3-4 mal die Woche,"Kraftsport, Fitness-Kurse",Nein,5 - trifft voll zu,5 - trifft voll zu,2 - trifft nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,4 - trifft zu,4 - trifft zu,4 - trifft zu,5 - trifft voll zu,4 - trifft zu,3- trifft teilweise zu,1 - trifft gar nicht zu,5 - trifft voll zu,3- trifft teilweise zu,1 - trifft gar nicht zu,5 - trifft voll zu,1 - trifft gar nicht zu,4 - trifft zu,2 - trifft nicht zu,4 - trifft zu,5 - trifft voll zu,1 - trifft gar nicht zu,5 - trifft voll zu,4 - trifft zu,Nie,"Zum Tracken meiner Leistungen, Um mir Ziele zu setzen, Ich tracke mein Essen auch mit der App, von Underarmour",Ja,Ja
05.06.2023 19:59:11,K,E,R,G,L,Männlich,27,3-4 mal die Woche,"Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Golf",Ja,4 - trifft zu,4 - trifft zu,2 - trifft nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,4 - trifft zu,4 - trifft zu,2 - trifft nicht zu,5 - trifft voll zu,4 - trifft zu,2 - trifft nicht zu,1 - trifft gar nicht zu,4 - trifft zu,5 - trifft voll zu,4 - trifft zu,4 - trifft zu,1 - trifft gar nicht zu,4 - trifft zu,2 - trifft nicht zu,4 - trifft zu,4 - trifft zu,1 - trifft gar nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,Bei wenigen Trainings,Zum Tracken meiner Leistungen,Nein,Nein
05.06.2023 21:07:40,A,K,N,D,U,Weiblich,26,3-4 mal die Woche,"Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Ja,5 - trifft voll zu,4 - trifft zu,3- trifft teilweise zu,2 - trifft nicht zu,1 - trifft gar nicht zu,4 - trifft zu,5 - trifft voll zu,5 - trifft voll zu,5 - trifft voll zu,5 - trifft voll zu,2 - trifft nicht zu,2 - trifft nicht zu,5 - trifft voll zu,5 - trifft voll zu,5 - trifft voll zu,5 - trifft voll zu,1 - trifft gar nicht zu,4 - trifft zu,3- trifft teilweise zu,4 - trifft zu,5 - trifft voll zu,3- trifft teilweise zu,4 - trifft zu,3- trifft teilweise zu,Bei wenigen Trainings,Wandern,Nein,Nein
05.06.2023 21:33:34,U,E,Z,K,R,Männlich,26,1-2 mal die Woche,"Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Ja,3- trifft teilweise zu,4 - trifft zu,1 - trifft gar nicht zu,4 - trifft zu,1 - trifft gar nicht zu,5 - trifft voll zu,5 - trifft voll zu,3- trifft teilweise zu,4 - trifft zu,5 - trifft voll zu,5 - trifft voll zu,1 - trifft gar nicht zu,3- trifft teilweise zu,4 - trifft zu,4 - trifft zu,5 - trifft voll zu,1 - trifft gar nicht zu,5 - trifft voll zu,1 - trifft gar nicht zu,5 - trifft voll zu,5 - trifft voll zu,2 - trifft nicht zu,5 - trifft voll zu,3- trifft teilweise zu,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um mir Ziele zu setzen, Um motivierter zu sein beim Sport",Ja,Ja
05.06.2023 22:01:45,A,A,R,W,M,Männlich,26,5-6 mal die Woche,"Joggen, Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Ja,4 - trifft zu,4 - trifft zu,3- trifft teilweise zu,2 - trifft nicht zu,1 - trifft gar nicht zu,2 - trifft nicht zu,3- trifft teilweise zu,5 - trifft voll zu,5 - trifft voll zu,5 - trifft voll zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,4 - trifft zu,2 - trifft nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,5 - trifft voll zu,5 - trifft voll zu,2 - trifft nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,Bei jedem Training,"Zum Tracken meiner Leistungen, Um Korrelationen zwischen meinem Trainingspensum und meiner Gesundheit auswerten zu können",Ja,Nein
05.06.2023 22:53:47,B,E,G,L,T,Männlich,27,1-2 mal die Woche,"Joggen, Schwimmen, Fahrrad fahren",Ja,4 - trifft zu,4 - trifft zu,2 - trifft nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,3- trifft teilweise zu,5 - trifft voll zu,1 - trifft gar nicht zu,2 - trifft nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,1 - trifft gar nicht zu,2 - trifft nicht zu,4 - trifft zu,1 - trifft gar nicht zu,4 - trifft zu,1 - trifft gar nicht zu,2 - trifft nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,1 - trifft gar nicht zu,3- trifft teilweise zu,4 - trifft zu,2 - trifft nicht zu,Bei dem Großteil meiner Trainings,"Zum Tracken meiner Leistungen, Um mir Ziele zu setzen, Um motivierter zu sein beim Sport",Ja,Nein
05.06.2023 23:34:49,A,B,B,K,D,Männlich,26,5-6 mal die Woche,"Joggen, Kraftsport, Schwimmen, Fitness-Kurse",Ja,4 - trifft zu,5 - trifft voll zu,3- trifft teilweise zu,3- trifft teilweise zu,2 - trifft nicht zu,4 - trifft zu,4 - trifft zu,3- trifft teilweise zu,4 - trifft zu,5 - trifft voll zu,2 - trifft nicht zu,1 - trifft gar nicht zu,4 - trifft zu,3- trifft teilweise zu,2 - trifft nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,4 - trifft zu,2 - trifft nicht zu,3- trifft teilweise zu,4 - trifft zu,1 - trifft gar nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,Bei jedem Training,"Zum Tracken meiner Leistungen, Um das Training meiner Freunde zu verfolgen, Um Kurse zu Buchen, Um motivierter zu sein beim Sport",Ja,Ja
06.06.2023 02:13:51,C,D,I,K,T,Weiblich,25,Jeden Tag,"Joggen, Kraftsport, Fitness-Kurse, Tanzen",Ja,4 - trifft zu,4 - trifft zu,4 - trifft zu,3- trifft teilweise zu,2 - trifft nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,3- trifft teilweise zu,4 - trifft zu,4 - trifft zu,2 - trifft nicht zu,1 - trifft gar nicht zu,5 - trifft voll zu,5 - trifft voll zu,5 - trifft voll zu,5 - trifft voll zu,1 - trifft gar nicht zu,4 - trifft zu,3- trifft teilweise zu,4 - trifft zu,5 - trifft voll zu,1 - trifft gar nicht zu,5 - trifft voll zu,1 - trifft gar nicht zu,Bei wenigen Trainings,Zum Tracken meiner Leistungen,Nein,Nein
06.06.2023 06:52:40,S,K,n,G,C,Männlich,24,5-6 mal die Woche,"Kraftsport, Tischtennis",Ja,4 - trifft zu,4 - trifft zu,3- trifft teilweise zu,3- trifft teilweise zu,3- trifft teilweise zu,4 - trifft zu,5 - trifft voll zu,4 - trifft zu,4 - trifft zu,5 - trifft voll zu,3- trifft teilweise zu,2 - trifft nicht zu,4 - trifft zu,4 - trifft zu,3- trifft teilweise zu,4 - trifft zu,1 - trifft gar nicht zu,4 - trifft zu,3- trifft teilweise zu,4 - trifft zu,4 - trifft zu,1 - trifft gar nicht zu,4 - trifft zu,3- trifft teilweise zu,Bei dem Großteil meiner Trainings,"Zum Tracken meiner Leistungen, Um motivierter zu sein beim Sport",Ja,Nein
06.06.2023 08:09:17,M,W,G,B,R,Männlich,20,3-4 mal die Woche,Tanzen,Ja,5 - trifft voll zu,4 - trifft zu,3- trifft teilweise zu,2 - trifft nicht zu,1 - trifft gar nicht zu,5 - trifft voll zu,4 - trifft zu,3- trifft teilweise zu,4 - trifft zu,4 - trifft zu,1 - trifft gar nicht zu,2 - trifft nicht zu,4 - trifft zu,5 - trifft voll zu,4 - trifft zu,4 - trifft zu,1 - trifft gar nicht zu,3- trifft teilweise zu,2 - trifft nicht zu,4 - trifft zu,5 - trifft voll zu,2 - trifft nicht zu,4 - trifft zu,2 - trifft nicht zu,Bei dem Großteil meiner Trainings,Zum Tracken meiner Leistungen,Nein,Nein
06.06.2023 08:17:10,K,S,I,D,W,Männlich,59,5-6 mal die Woche,"Joggen, Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Nein,5 - trifft voll zu,5 - trifft voll zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,4 - trifft zu,5 - trifft voll zu,4 - trifft zu,5 - trifft voll zu,5 - trifft voll zu,1 - trifft gar nicht zu,5 - trifft voll zu,5 - trifft voll zu,5 - trifft voll zu,1 - trifft gar nicht zu,5 - trifft voll zu,3- trifft teilweise zu,3- trifft teilweise zu,5 - trifft voll zu,1 - trifft gar nicht zu,5 - trifft voll zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,Nie,Um motivierter zu sein beim Sport,Ja,Nein
06.06.2023 08:23:53,M,M,T,P,G,Männlich,22,1-2 mal die Woche,"Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Ja,3- trifft teilweise zu,4 - trifft zu,4 - trifft zu,2 - trifft nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,4 - trifft zu,3- trifft teilweise zu,2 - trifft nicht zu,5 - trifft voll zu,1 - trifft gar nicht zu,4 - trifft zu,4 - trifft zu,3- trifft teilweise zu,3- trifft teilweise zu,4 - trifft zu,2 - trifft nicht zu,3- trifft teilweise zu,2 - trifft nicht zu,3- trifft teilweise zu,4 - trifft zu,3- trifft teilweise zu,4 - trifft zu,1 - trifft gar nicht zu,Bei dem Großteil meiner Trainings,"Zum Tracken meiner Leistungen, Um mir Ziele zu setzen, Um motivierter zu sein beim Sport",Ja,Nein
